study_id,id,Group,Trial,Condition,Salience,Direction,TrialDirection,Level,Change,Accuracy,Confidence,Arousal,flag_zero_variance,exclusion_reason
4,10189,Breath,0,lowSalienceDec,Low,NoChange,Slower,0.422912,0,0,4,2,FALSE,included
4,10189,Breath,1,lowSalienceDec,Low,Slower,Slower,0.660005904,0.660005904,1,5,2,FALSE,included
4,10189,Breath,2,lowSalienceDec,Low,Slower,Slower,0.581129105,0.581129105,1,4,1,FALSE,included
4,10189,Breath,3,lowSalienceDec,Low,NoChange,Slower,0.525950165,0,0,4,2,FALSE,included
4,10189,Breath,4,lowSalienceDec,Low,Slower,Slower,0.647391869,0.647391869,1,3,4,FALSE,included
4,10189,Breath,5,lowSalienceDec,Low,Slower,Slower,0.605164543,0.605164543,1,2,1,FALSE,included
4,10189,Breath,6,lowSalienceDec,Low,Slower,Slower,0.573476467,0.573476467,1,4,1,FALSE,included
4,10189,Breath,7,lowSalienceDec,Low,Slower,Slower,0.545444444,0.545444444,1,4,2,FALSE,included
4,10189,Breath,8,lowSalienceDec,Low,NoChange,Slower,0.52394582,0,1,4,1,FALSE,included
4,10189,Breath,9,lowSalienceDec,Low,Slower,Slower,0.502079327,0.502079327,0,4,1,FALSE,included
4,10243,Visual,0,lowSalienceAcc,Low,Faster,Faster,0.422912,-0.422912,1,5,4,FALSE,included
4,10243,Visual,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,1,4,5,FALSE,included
4,10243,Visual,2,lowSalienceAcc,Low,NoChange,Faster,0.194847948,0,0,5,5,FALSE,included
4,10243,Visual,3,lowSalienceAcc,Low,Faster,Faster,0.370126814,-0.370126814,1,6,5,FALSE,included
4,10243,Visual,4,lowSalienceAcc,Low,Faster,Faster,0.306922398,-0.306922398,1,1,5,FALSE,included
4,10243,Visual,5,lowSalienceAcc,Low,Faster,Faster,0.263654541,-0.263654541,1,3,5,FALSE,included
4,10243,Visual,6,lowSalienceAcc,Low,Faster,Faster,0.228700435,-0.228700435,1,5,5,FALSE,included
4,10243,Visual,7,lowSalienceAcc,Low,Faster,Faster,0.201074681,-0.201074681,0,3,4,FALSE,included
4,10243,Visual,8,lowSalienceAcc,Low,Faster,Faster,0.26260944,-0.26260944,1,3,5,FALSE,included
4,10243,Visual,9,lowSalienceAcc,Low,Faster,Faster,0.239872978,-0.239872978,0,3,4,FALSE,included
4,10243,Visual,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,1,3,4,FALSE,included
4,10243,Visual,1,highSalienceDec,High,Slower,Slower,0.290866253,0.290866253,0,3,3,FALSE,included
4,10243,Visual,2,highSalienceDec,High,Slower,Slower,0.513886737,0.513886737,1,5,4,FALSE,included
4,10243,Visual,3,highSalienceDec,High,Slower,Slower,0.435497046,0.435497046,1,4,5,FALSE,included
4,10243,Visual,4,highSalienceDec,High,Slower,Slower,0.384343212,0.384343212,1,4,5,FALSE,included
4,10243,Visual,5,highSalienceDec,High,Slower,Slower,0.345862035,0.345862035,1,4,5,FALSE,included
4,10243,Visual,6,highSalienceDec,High,NoChange,Slower,0.314160845,0,0,4,5,FALSE,included
4,10243,Visual,7,highSalienceDec,High,Slower,Slower,0.378862754,0.378862754,1,4,4,FALSE,included
4,10243,Visual,8,highSalienceDec,High,Slower,Slower,0.355402219,0.355402219,0,3,4,FALSE,included
4,10243,Visual,9,highSalienceDec,High,Slower,Slower,0.403492784,0.403492784,1,5,5,FALSE,included
4,10243,Visual,0,lowSalienceDec,Low,NoChange,Slower,0.422912,0,0,5,4,FALSE,included
4,10243,Visual,1,lowSalienceDec,Low,Slower,Slower,0.660005904,0.660005904,0,5,6,FALSE,included
4,10243,Visual,2,lowSalienceDec,Low,Slower,Slower,0.832034786,0.832034786,0,5,5,FALSE,included
4,10243,Visual,3,lowSalienceDec,Low,Slower,Slower,0.985363041,0.985363041,1,5,4,FALSE,included
4,10243,Visual,4,lowSalienceDec,Low,NoChange,Slower,0.936777474,0,0,3,4,FALSE,included
4,10243,Visual,5,lowSalienceDec,Low,Slower,Slower,1.040783958,1.040783958,0,3,4,FALSE,included
4,10243,Visual,6,lowSalienceDec,Low,NoChange,Slower,1.141403088,0,0,3,4,FALSE,included
4,10243,Visual,7,lowSalienceDec,Low,Slower,Slower,1.241689158,1.241689158,1,3,4,FALSE,included
4,10243,Visual,8,lowSalienceDec,Low,Slower,Slower,1.204973383,1.204973383,0,3,4,FALSE,included
4,10243,Visual,9,lowSalienceDec,Low,Slower,Slower,1.278954274,1.278954274,1,3,4,FALSE,included
4,10243,Visual,0,highSalienceAcc,High,Faster,Faster,0.422912,-0.422912,1,3,4,FALSE,included
4,10243,Visual,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,1,3,4,FALSE,included
4,10243,Visual,2,highSalienceAcc,High,NoChange,Faster,0.194847948,0,0,3,4,FALSE,included
4,10243,Visual,3,highSalienceAcc,High,Faster,Faster,0.370126814,-0.370126814,1,3,4,FALSE,included
4,10243,Visual,4,highSalienceAcc,High,Faster,Faster,0.306922398,-0.306922398,1,3,4,FALSE,included
4,10243,Visual,5,highSalienceAcc,High,Faster,Faster,0.263654541,-0.263654541,1,3,4,FALSE,included
4,10243,Visual,6,highSalienceAcc,High,Faster,Faster,0.228700435,-0.228700435,1,3,4,FALSE,included
4,10243,Visual,7,highSalienceAcc,High,Faster,Faster,0.201074681,-0.201074681,1,3,3,FALSE,included
4,10243,Visual,8,highSalienceAcc,High,Faster,Faster,0.17498379,-0.17498379,1,3,4,FALSE,included
4,10243,Visual,9,highSalienceAcc,High,NoChange,Faster,0.147271341,0,0,3,4,FALSE,included
4,10246,Visual,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,0,4,4,FALSE,included
4,10246,Visual,1,highSalienceDec,High,Slower,Slower,0.660005904,0.660005904,0,4,5,FALSE,included
4,10246,Visual,2,highSalienceDec,High,Slower,Slower,0.832034786,0.832034786,0,4,4,FALSE,included
4,10246,Visual,3,highSalienceDec,High,Slower,Slower,0.985363041,0.985363041,0,5,4,FALSE,included
4,10246,Visual,4,highSalienceDec,High,Slower,Slower,1.115241797,1.115241797,0,5,4,FALSE,included
4,10246,Visual,5,highSalienceDec,High,Slower,Slower,1.216235279,1.216235279,0,4,5,FALSE,included
4,10246,Visual,6,highSalienceDec,High,Slower,Slower,1.306863197,1.306863197,1,4,5,FALSE,included
