id,arousal_sd_s1,n_s1_trials,mean_acc_s1,flag_pilot,flag_test_entry,flag_zero_arousal,flag_near_chance,flag_zero_arousal_detected,excluded,exclusion_reason
14119,0.6400120191179105,40,0.6176470588235294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14134,0.3038218101251,40,0.6451612903225806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14137,1.051250781273529,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14170,0.7472170590486632,40,0.7058823529411765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14191,0.9212588934267874,40,0.7241379310344828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14272,0.552384110133705,40,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14287,0.9195177108206347,40,0.6764705882352942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14338,1.0609623111312794,40,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14359,0.2667467828369185,40,0.6470588235294118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14395,0.40509574683346666,40,0.8181818181818182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14416,0.9604352645732546,40,0.5454545454545454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14470,0.6196566460342041,40,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14473,0.7675301714607473,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14488,0.9604352645732546,40,0.5625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14521,0.9657599638069015,40,0.7567567567567568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14557,0.6405126152203485,40,0.7096774193548387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14581,0.6751068291531577,40,0.7333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14653,0.505736325340815,40,0.6944444444444444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14659,0.7905694150420949,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14698,0.533493565673837,40,0.7272727272727273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14710,0.7089175569585666,40,0.78125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14728,0.7333624702836332,40,0.7428571428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14731,0.7298577311314224,40,0.7058823529411765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14764,0.7844645405527362,40,0.7575757575757576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14797,0.7161148740394329,40,0.6129032258064516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14803,1.5525000516123695,40,0.9259259259259259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14872,0.3616202853397895,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14881,1.0426789952710696,40,0.7741935483870968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14947,0.5943106327545623,40,0.4838709677419355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14953,1.136515141415488,40,0.6176470588235294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14962,0.888314451139102,40,0.5625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14971,1.7246329970051526,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14977,1.4286446867663214,40,0.7222222222222222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14986,1.3085027654458692,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
14998,0.9870962335856491,40,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15025,0,40,0.8181818181818182,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,included
15046,0.549475274168981,40,0.6451612903225806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15091,0.9001424388708769,40,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15157,1.8043750249793502,40,0.7419354838709677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15184,1.1591331863033443,40,0.6129032258064516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15190,0.5304811555656397,40,0.6875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
15199,0.75064075193233315,40,0.6451612903225806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
